dt,weekday,hr,accessinfo,action,cardtype,cardfrom,docsubtype,sdkversion,cardside,transactions
18/01/24,Thursday,18,CAPTURE,VALID,,,,2.13.0-b02,,234
19/01/24,Friday,1,CAPTURE,VALID,,,,2.13.0-b02,,462
19/01/24,Friday,6,CAPTURE,VALID,,,,2.13.0-b02,,176
19/01/24,Friday,7,CAPTURE,VALID,,,,2.13.0-b02,,17
19/01/24,Friday,18,CAPTURE,VALID,,,,2.13.0-b02,,278
20/01/24,Saturday,1,CAPTURE,VALID,,,,2.13.0-b02,,426
20/01/24,Saturday,8,CAPTURE,VALID,,,,2.13.0-b02,,152
20/01/24,Saturday,17,CAPTURE,VALID,,,,2.13.0-b02,,186
21/01/24,Sunday,0,CAPTURE,VALID,,,,2.13.0-b02,,382
21/01/24,Sunday,8,CAPTURE,VALID,,,,2.13.0-b02,,181
21/01/24,Sunday,16,CAPTURE,VALID,,,,2.13.0-b02,,96
22/01/24,Monday,0,CAPTURE,VALID,,,,2.13.0-b02,,335
22/01/24,Monday,8,CAPTURE,VALID,,,,2.13.0-b02,,290
22/01/24,Monday,18,CAPTURE,VALID,,,,2.13.0-b02,,171
23/01/24,Tuesday,1,CAPTURE,VALID,,,,2.13.0-b02,,525
23/01/24,Tuesday,18,CAPTURE,VALID,,,,2.13.0-b02,,677
24/01/24,Wednesday,1,CAPTURE,VALID,,,,2.13.0-b02,,354
24/01/24,Wednesday,8,CAPTURE,VALID,,,,2.13.0-b02,,334
24/01/24,Wednesday,18,CAPTURE,VALID,,,,2.13.0-b02,,265
25/01/24,Thursday,1,CAPTURE,VALID,,,,2.13.0-b02,,557
25/01/24,Thursday,8,CAPTURE,VALID,,,,2.13.0-b02,,287
25/01/24,Thursday,17,CAPTURE,VALID,,,,2.13.0-b02,,222
26/01/24,Friday,1,CAPTURE,VALID,,,,2.13.0-b02,,569
26/01/24,Friday,8,CAPTURE,VALID,,,,2.13.0-b02,,278
26/01/24,Friday,18,CAPTURE,VALID,,,,2.13.0-b02,,218
27/01/24,Saturday,1,CAPTURE,VALID,,,,2.13.0-b02,,457
27/01/24,Saturday,8,CAPTURE,VALID,,,,2.13.0-b02,,246
27/01/24,Saturday,17,CAPTURE,VALID,,,,2.13.0-b02,,158
28/01/24,Sunday,0,CAPTURE,VALID,,,,2.13.0-b02,,482
28/01/24,Sunday,8,CAPTURE,VALID,,,,2.13.0-b02,,257
28/01/24,Sunday,16,CAPTURE,VALID,,,,2.13.0-b02,,116
29/01/24,Monday,0,CAPTURE,VALID,,,,2.13.0-b02,,383
29/01/24,Monday,9,CAPTURE,VALID,,,,2.13.0-b02,,279
29/01/24,Monday,17,CAPTURE,VALID,,,,2.13.0-b02,,199
30/01/24,Tuesday,1,CAPTURE,VALID,,,,2.13.0-b02,,530
30/01/24,Tuesday,8,CAPTURE,VALID,,,,2.13.0-b02,,277
30/01/24,Tuesday,18,CAPTURE,VALID,,,,2.13.0-b02,,201
31/01/24,Wednesday,1,CAPTURE,VALID,,,,2.13.0-b02,,524
31/01/24,Wednesday,8,CAPTURE,VALID,,,,2.13.0-b02,,255
